"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20585","test_signup[varshitha reddy-varshi123-chrome]","tests","2025-10-21","passed","2025-10-21","","test_signup","",""
"","39251","test_signup[varshitha reddy-varshi123-firefox]","tests","2025-10-21","passed","2025-10-21","","test_signup","",""
"","29686","test_dropdowns","tests","2025-10-21","passed","2025-10-21","","test_demoqa","",""
"","33579","test_drag_drop_demo","tests","2025-10-21","passed","2025-10-21","","test_demoqa","",""
"","57819","test_login[varshitha reddy-varshi123-firefox]","tests","2025-10-21","passed","2025-10-21","","test_login","",""
"","98215","test_radio_buttons","tests","2025-10-21","passed","2025-10-21","","test_demoqa","",""
"","17781","test_place_order[chrome-varshitha-India-Bengaluru-297968355916-march-2027]","tests","2025-10-21","passed","2025-10-21","","test_place_order","",""
"","20310","test_add_to_cart[chrome]","tests","2025-10-21","passed","2025-10-21","","test_add_to_cart","",""
"","14350","test_add_to_cart[edge]","tests","2025-10-21","passed","2025-10-21","","test_add_to_cart","",""
"","72803","test_login[varshitha reddy-varshi123-chrome]","tests","2025-10-21","passed","2025-10-21","","test_login","",""
"","43758","test_login[varshitha reddy-varshi123-edge]","tests","2025-10-21","passed","2025-10-21","","test_login","",""
"","35447","test_file_upload","tests","2025-10-21","passed","2025-10-21","","test_demoqa","",""
"","24542","test_signup[varshitha reddy-varshi123-edge]","tests","2025-10-21","passed","2025-10-21","","test_signup","",""
"","14621","test_add_to_cart[firefox]","tests","2025-10-21","passed","2025-10-21","","test_add_to_cart","",""
"","17122","test_place_order[firefox-varshitha-India-Bengaluru-297968355916-march-2027]","tests","2025-10-21","passed","2025-10-21","","test_place_order","",""
"","91942","test_checkboxes","tests","2025-10-21","passed","2025-10-21","","test_demoqa","",""
"","17124","test_place_order[edge-varshitha-India-Bengaluru-297968355916-march-2027]","tests","2025-10-21","passed","2025-10-21","","test_place_order","",""
